"","from","to","database","source"
"4482","THBS2","ITGA3","omnipath","omnipath"
"4483","THBS4","SDC1","omnipath","omnipath"
"4484","THBS4","SDC4","omnipath","omnipath"
"4485","THBS4","CD36","omnipath","omnipath"
"4486","THBS4","CD47","omnipath","omnipath"
"4487","THBS4","ITGA3","omnipath","omnipath"
"4488","THBS4","ITGB1","omnipath","omnipath"
"4489","THBS4","ITGAV","omnipath","omnipath"
"4490","THBS4","ITGB3","omnipath","omnipath"
"4491","THPO","MPL","omnipath","omnipath"
"4492","THY1","CNTN1","omnipath","omnipath"
"4493","THY1","ITGAM","omnipath","omnipath"
"4494","THY1","ITGAX","omnipath","omnipath"
"4495","THY1","ITGB2","omnipath","omnipath"
"4496","THY1","ITGAV","omnipath","omnipath"
"4497","THY1","ITGB3","omnipath","omnipath"
"4498","TIGIT","RECK","nichenet_verschueren","nichenet_verschueren"
"4499","TIGIT","NECTIN3","nichenet_verschueren","nichenet_verschueren"
"4500","TIGIT","NECTIN4","nichenet_verschueren","nichenet_verschueren"
"4501","TIGIT","SIRPA","nichenet_verschueren","nichenet_verschueren"
"4502","TIGIT","PVR","omnipath","omnipath"
"4503","TIGIT","NECTIN2","omnipath","omnipath"
"4504","TIMD4","SIGLEC7","nichenet_verschueren","nichenet_verschueren"
"4505","TIMD4","HAVCR1","omnipath","omnipath"
"4506","TIMP1","FGFR2","omnipath","omnipath"
"4507","TIMP1","CD63","omnipath","omnipath"
"4508","TIMP1","MMP1","omnipath","omnipath"
"4509","TIMP1","MMP9","omnipath","omnipath"
"4510","TIMP1","MMP2","omnipath","omnipath"
"4511","TIMP2","LRP2","omnipath","omnipath"
"4512","TIMP2","CD44","omnipath","omnipath"
"4513","TIMP2","ITGB1","omnipath","omnipath"
"4514","TIMP2","ITGA3","omnipath","omnipath"
"4515","TIMP2","MMP2","omnipath","omnipath"
"4516","TIMP3","MMP14","omnipath","omnipath"
"4517","TIMP3","CD44","omnipath","omnipath"
"4518","TIMP3","MET","omnipath","omnipath"
"4519","TIMP3","AGTR2","omnipath","omnipath"
"4520","TIMP3","KDR","omnipath","omnipath"
"4521","TIMP3","ADAM17","omnipath","omnipath"
"4522","TIMP3","DDR1","omnipath","omnipath"
"4523","TIMP3","MMP2","omnipath","omnipath"
"4524","TIMP3","ADAMTS4","omnipath","omnipath"
"4525","TIMP3","MMP9","omnipath","omnipath"
"4526","TMEM190","IGSF11","nichenet_verschueren","nichenet_verschueren"
"4527","TMPRSS6","HJV","omnipath","omnipath"
"4528","TNC","ITGB3","nichenet_verschueren","nichenet_verschueren"
"4529","TNC","ITGB6","nichenet_verschueren","nichenet_verschueren"
"4530","TNC","SDC1","nichenet_verschueren","nichenet_verschueren"
"4531","TNC","ITGA5","omnipath","omnipath"
"4532","TNC","EGFR","omnipath","omnipath"
"4533","TNC","PTPRB","omnipath","omnipath"
"4534","TNC","ITGA7","omnipath","omnipath"
"4535","TNC","ITGB1","omnipath","omnipath"
"4536","TNC","CNTN1","omnipath","omnipath"
"4537","TNC","ITGAV","omnipath","omnipath"
"4538","TNC","PTPRZ1","omnipath","omnipath"
"4539","TNC","ITGA8","omnipath","omnipath"
"4540","TNC","ITGA9","omnipath","omnipath"
"4541","TNF","LTBR","nichenet_verschueren","nichenet_verschueren"
"4542","TNF","TNFRSF1B","omnipath","omnipath"
"4543","TNF","TNFRSF1A","omnipath","omnipath"
"4544","TNF","TNFRSF21","omnipath","omnipath"
"4545","TNF","TRAF2","omnipath","omnipath"
"4546","TNFRSF14","FCAR","nichenet_verschueren","nichenet_verschueren"
"4547","TNFRSF14","BTLA","omnipath","omnipath"
"4548","TNFRSF14","CD160","omnipath","omnipath"
"4549","TNFRSF14","LRFN5","omnipath","omnipath"
"4550","TNFRSF14","TRAF2","omnipath","omnipath"
"4551","TNFSF10","TNFRSF10C","omnipath","omnipath"
"4552","TNFSF10","TNFRSF10D","omnipath","omnipath"
"4553","TNFSF10","TNFRSF10B","omnipath","omnipath"
"4554","TNFSF10","TNFRSF10A","omnipath","omnipath"
"4555","TNFSF10","TNFRSF11B","omnipath","omnipath"
"4556","TNFSF11","TNFRSF11A","omnipath","omnipath"
"4557","TNFSF11","TNFRSF11B","omnipath","omnipath"
"4558","TNFSF12","TNFRSF12A","omnipath","omnipath"
"4559","TNFSF12","TNFRSF25","omnipath","omnipath"
"4560","TNFSF12","TNFRSF8","omnipath","omnipath"
"4561","TNFSF12","CD163","omnipath","omnipath"
"4562","TNFSF13","TNFRSF17","omnipath","omnipath"
"4563","TNFSF13","TNFRSF13B","omnipath","omnipath"
"4564","TNFSF13","TNFRSF14","omnipath","omnipath"
"4565","TNFSF13","FAS","omnipath","omnipath"
"4566","TNFSF13","TNFRSF1A","omnipath","omnipath"
"4567","TNFSF13","TNFRSF11B","omnipath","omnipath"
"4568","TNFSF13","SDC2","omnipath","omnipath"
"4569","TNFSF13B","TNFRSF13C","omnipath","omnipath"
"4570","TNFSF13B","TNFRSF17","omnipath","omnipath"
"4571","TNFSF13B","TNFRSF13B","omnipath","omnipath"
"4572","TNFSF14","LTBR","omnipath","omnipath"
"4573","TNFSF14","TNFRSF14","omnipath","omnipath"
"4574","TNFSF14","TNFRSF6B","omnipath","omnipath"
"4575","TNFSF15","TNFRSF25","omnipath","omnipath"
"4576","TNFSF15","TNFRSF6B","omnipath","omnipath"
"4577","TNFSF18","TNFRSF18","omnipath","omnipath"
"4578","TNFSF4","TNFRSF4","omnipath","omnipath"
"4579","TNFSF4","TRAF2","omnipath","omnipath"
"4580","TNFSF8","TNFRSF8","omnipath","omnipath"
"4581","TNFSF9","TNFRSF9","omnipath","omnipath"
"4582","TNFSF9","PVR","omnipath","omnipath"
"4583","TNFSF9","TRAF2","omnipath","omnipath"
"4584","TNFSF9","FCRL1","omnipath","omnipath"
"4585","TNN","SDC1","omnipath","omnipath"
"4586","TNN","SDC4","omnipath","omnipath"
"4587","TNN","ITGA8","omnipath","omnipath"
"4588","TNN","ITGB1","omnipath","omnipath"
"4589","TNN","ITGA9","omnipath","omnipath"
"4590","TNN","ITGAV","omnipath","omnipath"
"4591","TNN","ITGB3","omnipath","omnipath"
"4592","TNN","ITGA2B","omnipath","omnipath"
"4593","TNN","ITGB6","omnipath","omnipath"
"4594","TNR","SDC1","omnipath","omnipath"
"4595","TNR","SDC4","omnipath","omnipath"
"4596","TNR","ITGA8","omnipath","omnipath"
"4597","TNR","ITGB1","omnipath","omnipath"
"4598","TNR","ITGA9","omnipath","omnipath"
"4599","TNR","ITGAV","omnipath","omnipath"
"4600","TNR","ITGB3","omnipath","omnipath"
"4601","TNR","ITGA2B","omnipath","omnipath"
"4602","TNR","ITGB6","omnipath","omnipath"
"4603","TNXB","SDC1","omnipath","omnipath"
"4604","TNXB","SDC4","omnipath","omnipath"
"4605","TNXB","ITGA8","omnipath","omnipath"
"4606","TNXB","ITGB1","omnipath","omnipath"
"4607","TNXB","ITGA9","omnipath","omnipath"
"4608","TNXB","ITGAV","omnipath","omnipath"
"4609","TNXB","ITGB3","omnipath","omnipath"
"4610","TNXB","ITGA2B","omnipath","omnipath"
"4611","TNXB","ITGB6","omnipath","omnipath"
