"","from","to","database","source"
"1768","Efnb3","Ephb2","omnipath","omnipath"
"1769","Efnb3","Ephb3","omnipath","omnipath"
"1770","Efnb3","Ephb4","omnipath","omnipath"
"1771","Efnb3","Ephb6","omnipath","omnipath"
"1772","Efnb3","Rhbdl2","omnipath","omnipath"
"1773","Egf","Egfr","omnipath","omnipath"
"1774","Egf","Erbb2","omnipath","omnipath"
"1775","Egf","Erbb3","omnipath","omnipath"
"1776","Egf","Erbb4","omnipath","omnipath"
"1777","Egf","Tnfrsf11b","nichenet_verschueren","nichenet_verschueren"
"1778","Elfn1","Flt1","nichenet_verschueren","nichenet_verschueren"
"1779","Emc1","Prlr","nichenet_verschueren","nichenet_verschueren"
"1780","Enam","Cd63","omnipath","omnipath"
"1781","Eng","Acvr2a","omnipath","omnipath"
"1782","Eng","Acvrl1","omnipath","omnipath"
"1783","Eng","Bmpr2","omnipath","omnipath"
"1784","Eng","Cdh5","omnipath","omnipath"
"1785","Eng","Itgav","omnipath","omnipath"
"1786","Enho","Gpr19","omnipath","omnipath"
"1787","Enpp1","Insr","omnipath","omnipath"
"1788","Entpd1","Adora1","omnipath","omnipath"
"1789","Entpd1","Adora2a","omnipath","omnipath"
"1790","Entpd1","Adora2b","omnipath","omnipath"
"1791","Entpd1","Tmigd3","omnipath","omnipath"
"1792","Epcam","Cldn1","omnipath","omnipath"
"1793","Epcam","Cldn7","omnipath","omnipath"
"1794","Epgn","Egfr","omnipath","omnipath"
"1795","Epgn","Erbb4","omnipath","omnipath"
"1796","Epgn","Igsf11","nichenet_verschueren","nichenet_verschueren"
"1797","Epha4","Fgfr1","omnipath","omnipath"
"1798","Epha4","Fgfr2","omnipath","omnipath"
"1799","Epha4","Fgfr3","omnipath","omnipath"
"1800","Epha4","Fgfr4","omnipath","omnipath"
"1801","Epo","Ephb4","omnipath","omnipath"
"1802","Epo","Epor","omnipath","omnipath"
"1803","Ereg","Egfr","omnipath","omnipath"
"1804","Ereg","Erbb2","omnipath","omnipath"
"1805","Ereg","Erbb3","omnipath","omnipath"
"1806","Ereg","Erbb4","omnipath","omnipath"
"1807","Erfe","Lrp1","omnipath","omnipath"
"1808","Esam","Esam","nichenet_verschueren","nichenet_verschueren"
"1809","Esam","Robo3","nichenet_verschueren","nichenet_verschueren"
"1810","Esm1","Itgal","omnipath","omnipath"
"1811","Esm1","Itgb2","omnipath","omnipath"
"1812","Esm1","Itgb2l","omnipath","omnipath"
"1813","Ezr","Slc9a1","omnipath","omnipath"
"1814","F10","F3","omnipath","omnipath"
"1815","F10","F7","omnipath","omnipath"
"1816","F10","Itgam","omnipath","omnipath"
"1817","F10","Gm49368","omnipath","omnipath"
"1818","F10","Itgb2","omnipath","omnipath"
"1819","F10","Itgb2l","omnipath","omnipath"
"1820","F11","F9","omnipath","omnipath"
